Diameter,Dextran,FlowRate,VelocityPixel,SDPixel
50x50,With Dextran,0.06,6.507889270782471,1.7371690273284912
50x50,With Dextran,0.06,6.683960437774658,2.361920118331909
50x50,With Dextran,0.06,6.793230056762695,1.9290974140167236
50x50,With Dextran,0.06,7.549862384796143,2.93534779548645
50x50,With Dextran,0.045,4.746617317199707,0.7399486899375916
50x50,With Dextran,0.045,5.147973537445068,0.9627244472503662
50x50,With Dextran,0.045,5.613394260406494,1.1903148889541626
50x50,With Dextran,0.045,6.051081657409668,1.530895709991455
50x50,With Dextran,0.075,8.30288314819336,2.9202473163604736
50x50,With Dextran,0.075,8.537278175354004,3.2081451416015625
50x50,With Dextran,0.075,8.745607376098633,3.5175204277038574
50x50,With Dextran,0.075,8.745802879333496,3.166233777999878
100x100,With Dextran,0.18 ,6.882575511932373,2.019862651824951
100x100,With Dextran,0.18 ,8.227381706237793,2.512463092803955
100x100,With Dextran,0.18 ,8.887696266174316,2.734644651412964
100x100,With Dextran,0.18 ,10.06745433807373,3.727886199951172
100x100,With Dextran,0.24,12.020838737487793,4.699673652648926
100x100,With Dextran,0.24,14.171142578125,5.801243782043457
100x100,With Dextran,0.24,15.244691848754883,6.438264846801758
100x100,With Dextran,0.24,13.245203971862793,5.073265075683594
100x100,With Dextran,0.30,15.427066802978516,5.821690082550049
100x100,With Dextran,0.30,14.674908638000488,6.768504619598389
100x100,With Dextran,0.30,16.789981842041016,7.536463260650635
100x100,With Dextran,0.30,16.651403427124023,7.355997085571289
50x50,Without Dextran,0.06,9.291861534118652,3.5939877033233643
50x50,Without Dextran,0.06,8.894527435302734,3.32116961479187
50x50,Without Dextran,0.06,8.532944679260254,3.2450947761535645
50x50,Without Dextran,0.06,9.185506820678711,3.4770100116729736
50x50,Without Dextran,0.045,3.618128538131714,0.4675939679145813
50x50,Without Dextran,0.045,3.6408934593200684,0.4688630998134613
50x50,Without Dextran,0.045,3.5831458568573,0.4407643675804138
50x50,Without Dextran,0.045,3.436556816101074,0.37157630920410156
50x50,Without Dextran,0.075,11.937284469604492,4.327566146850586
50x50,Without Dextran,0.075,11.713502883911133,4.354220867156982
50x50,Without Dextran,0.075,12.973044395446777,4.7969255447387695
50x50,Without Dextran,0.075,12.958221435546875,4.758434772491455
100x100,Without Dextran,0.18 ,10.223705291748047,5.1567511558532715
100x100,Without Dextran,0.18 ,10.522793769836426,5.755843162536621
100x100,Without Dextran,0.18 ,10.261933326721191,5.399980545043945
100x100,Without Dextran,0.18 ,7.793565273284912,4.212891578674316
100x100,Without Dextran,0.24,7.415412425994873,3.452549934387207
100x100,Without Dextran,0.24,7.680643081665039,3.5844919681549072
100x100,Without Dextran,0.24,8.897496223449707,4.781773090362549
100x100,Without Dextran,0.24,6.633285045623779,2.5450308322906494
100x100,Without Dextran,0.30,8.053112030029297,4.0373454093933105
100x100,Without Dextran,0.30,8.189875602722168,3.9158060550689697
100x100,Without Dextran,0.30,9.351410865783691,4.834124565124512
100x100,Without Dextran,0.30,9.580942153930664,5.071588039398193
